"","abortion","age","aid.blacks","aid.blacksCD","aid.blacksCR","aid.blacksD","aid.blacksR","anger.dem","anger.rep","auth.1","auth.2","auth.3","auth.4","bible","black","catholic","church","college","defense.spendingCD","defense.spendingCR","defense.spendingD","defense.spendingR","dem.afraid","dem.angry","dem.cares","dem.decent","dem.hope","dem.know","dem.leader","efficacy1","efficacy2","efficacy3","efficacy4","efficacy5","efficacy6","efficacy7","egal1","egal2","egal3","egal4","fear.dem","fear.rep","feel.asian","feel.black","feel.latino","feeling.dem","feeling.demc","feeling.rep","feeling.repc","female","feminists.therm","fundamental.therm","gay.therm","gays.adoption","gays.military","gov.services","gov.servicesCD","gov.servicesCR","gov.servicesD","gov.servicesR","hispanic","hope.dem","hope.rep","ideology","ideologyCD","ideologyCR","ideologyD","ideologyR","immigrants","income","interest.elections","interest.politics","jewish","jobs","jobsCD","jobsCR","jobsD","jobsR","know.interview.post","know.interview.pre","media","mode","moral1","moral2","moral3","moral4","nonwhite","other","other.race","p1","p2","p3","p4","p5","pid","primary","protect.gays","proud.dem","proud.rep","public.insurance","public.insuranceCD","public.insuranceCR","rep.afraid","rep.angry","rep.cares","rep.decent","rep.hope","rep.know","rep.leader","rid","rr1","rr2","rr3","rr4","split.house","split.senate","union.therm","vote","vote.house","vote.senate","voted","weights.all","weights.ftf","weights.web","white","women.role","women.roleCD","women.roleCR","year","rid2","group","racial.resentment","authoritarianism","efficacy","knowledge","dem_traits","rep_traits","dem_anxiety","rep_anxiety","participation"
"35982",2,0.2625,7,1,7,NA,NA,NA,NA,1,1,1,1,2,0,1,1,1,3,7,NA,NA,NA,NA,4,3,NA,3,4,5,1,1,1,3,2,2,1,1,1,1,NA,NA,100,100,100,85,100,0,0,0,70,15,85,0,0,2,6,1,NA,NA,0,NA,NA,0.166666666666667,2,7,2,7,1,1,3,3,0,2,2,7,NA,NA,NA,NA,0,"3",1,3,NA,NA,0,0,0,1,0,1,1,1,0,1,0,NA,NA,4,2,7,NA,NA,1,1,NA,1,1,3598,1,1,1,1,"0",NA,85,0,0,NA,0,NA,NA,NA,1,NA,NA,NA,2020,22545,1,0,0,2.33333333333333,NA,0.166666666666667,1,NA,NA,4
"35992",1,0.425,6,2,6,NA,NA,NA,NA,1,2,2,1,NA,0,0,1,NA,5,5,NA,NA,NA,NA,1,1,NA,1,1,4,1,1,1,2,2,4,2,1,2,2,NA,NA,NA,NA,NA,60,30,60,60,1,40,70,100,0,0,2,7,1,NA,NA,0,NA,NA,0.5,1,6,7,6,2,1,2,2,0,5,3,7,NA,NA,NA,NA,0,"3",4,5,NA,NA,0,1,0,0,0,0,0,1,0.5,1,0,NA,NA,2,1,7,NA,NA,1,1,NA,1,2,3599,5,2,5,3,"1","1",50,1,0,0,1,NA,NA,NA,1,NA,NA,NA,2020,22546,1,0.6875,0.5,2.33333333333333,NA,1,0.916666666666667,NA,NA,1
"36002",3,0.7875,6,2,6,NA,NA,NA,NA,2,2,1,1,3,0,0,1,0,2,6,NA,NA,NA,NA,1,1,NA,1,1,3,2,1,1,4,2,2,3,5,4,4,NA,NA,85,85,85,0,15,100,100,1,16,100,NA,1,0,NA,2,5,NA,NA,0,NA,NA,0.833333333333333,1,6,2,6,4,1,2,3,0,7,2,5,NA,NA,NA,NA,0,"3",5,5,NA,NA,0,0,0,0,0,0,1,1,1,0,0,NA,NA,NA,2,6,NA,NA,4,4,NA,4,4,3600,5,5,5,5,"0","0",15,1,1,1,1,NA,NA,NA,1,NA,NA,NA,2020,22547,1,1,0.5,2.33333333333333,NA,1,0,NA,NA,2
"36022",1,0.7875,5,2,5,NA,NA,NA,NA,1,2,1,1,2,0,1,NA,0,6,2,NA,NA,NA,NA,1,1,NA,1,1,3,3,1,1,3,1,3,1,4,4,3,NA,NA,NA,50,NA,40,30,60,70,0,50,50,50,0,0,4,2,4,NA,NA,0,NA,NA,0.666666666666667,1,6,2,5,3,0,2,3,0,6,2,6,NA,NA,NA,NA,0,"3",3,4,NA,NA,0,0,0,0,0,0,0,1,0.666666666666667,1,0,NA,NA,6,2,6,NA,NA,2,3,NA,2,2,3602,5,4,4,5,"0",NA,60,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,2020,22549,1,0.875,0.25,2.33333333333333,NA,1,0.583333333333333,NA,NA,1
"36032",1,-0.325,6,3,6,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,NA,1,5,2,NA,NA,NA,NA,3,2,NA,3,2,3,NA,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,15,0,NA,NA,NA,0,NA,4,5,1,NA,NA,0,NA,NA,0.5,5,5,6,2,NA,NA,3,NA,0,NA,NA,NA,NA,NA,NA,NA,0,"3",NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0.5,0,0,NA,NA,2,3,7,NA,NA,1,1,NA,1,1,3603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2020,22550,1,NA,NA,2.33333333333333,NA,0.5,1,NA,NA,0
"36042",1,0.25,5,1,5,NA,NA,NA,NA,1,2,2,1,1,0,0,NA,0,7,7,NA,NA,NA,NA,1,1,NA,1,1,3,2,2,1,2,1,2,2,4,4,2,NA,NA,NA,50,50,0,0,100,100,1,40,50,50,0,0,4,7,3,NA,NA,0,NA,NA,0.5,1,7,1,7,4,1,1,2,0,1,2,7,NA,NA,NA,NA,0,"3",2,4,NA,NA,0,1,0,0,0,0,0,1,1,1,0,NA,NA,7,1,7,NA,NA,4,4,NA,1,4,3604,4,4,2,1,"0","0",60,1,1,1,1,NA,NA,NA,1,NA,NA,NA,2020,22551,1,0.4375,0.5,2,NA,1,0.25,NA,NA,1
"36052",4,0.325,4,1,4,NA,NA,NA,NA,1,2,2,1,2,0,0,0,1,1,6,NA,NA,NA,NA,1,1,NA,1,1,5,1,1,1,2,1,2,5,5,5,2,NA,NA,50,50,50,0,0,70,90,1,15,50,85,0,1,4,7,3,NA,NA,0,NA,NA,1,1,6,1,5,5,1,3,4,0,7,1,6,NA,NA,NA,NA,0,"3",5,5,NA,NA,0,0,0,0,0,0,0,1,1,1,0,NA,NA,6,1,7,NA,NA,4,4,NA,3,4,3605,4,2,4,4,"0","0",50,1,1,1,1,NA,NA,NA,1,NA,NA,NA,2020,22552,1,0.625,0.5,2,NA,1,0.0833333333333334,NA,NA,1
"36062",1,0.6,7,3,7,NA,NA,NA,NA,2,2,2,2,1,0,0,NA,1,4,7,NA,NA,NA,NA,4,4,NA,4,4,4,4,1,1,2,3,4,1,3,1,1,NA,NA,NA,70,30,100,100,50,0,0,70,15,90,0,0,1,7,1,NA,NA,0,NA,NA,0,2,7,2,6,2,0,3,4,0,4,4,7,NA,NA,NA,NA,0,"3",1,4,NA,NA,0,1,0,0,0,0,1,1,0,1,0,NA,NA,2,2,6,NA,NA,1,1,NA,1,1,3606,5,5,5,5,"0","0",85,0,0,0,0,NA,NA,NA,1,NA,NA,NA,2020,22553,1,1,1,3,NA,0,1,NA,NA,2
"36082",4,0.4875,7,7,7,NA,NA,NA,NA,2,2,2,2,3,0,0,0,0,1,7,NA,NA,NA,NA,1,1,NA,1,1,1,1,1,1,1,1,4,4,5,4,4,NA,NA,50,70,40,0,0,85,100,1,15,100,50,1,0,NA,4,4,NA,NA,0,NA,NA,NA,1,6,1,6,5,0,1,1,0,6,7,6,NA,NA,NA,NA,NA,"3",5,3,NA,NA,0,1,0,0,0,0,0,1,1,0,1,NA,NA,3,7,6,NA,NA,4,4,NA,4,4,3608,4,5,5,3,"0","0",40,1,1,1,1,NA,NA,NA,1,NA,NA,NA,2020,22555,1,0.8125,1,1.5,NA,1,0,NA,NA,1
"36102",3,0.2875,4,2,4,NA,NA,NA,NA,1,1,2,1,2,0,0,NA,0,6,3,NA,NA,NA,NA,2,4,NA,3,3,3,2,2,1,3,3,4,1,4,3,1,NA,NA,75,80,70,80,70,40,15,0,50,60,100,0,0,1,5,3,NA,NA,0,NA,NA,NA,4,5,2,6,3,0,2,1,0,2,5,5,NA,NA,NA,NA,0,"3",1,5,NA,NA,0,1,0,0,0,0,0,0,0.333333333333333,0,0,NA,NA,NA,5,2,NA,NA,3,1,NA,1,1,3610,3,1,1,1,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2020,22557,1,0.125,0.25,2.83333333333333,NA,0.333333333333333,0.833333333333333,NA,NA,0
"36122",3,0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0.5,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2020,22559,1,NA,NA,2,NA,NA,NA,NA,NA,0
"36132",4,0.2375,3,1,3,NA,NA,NA,NA,1,2,2,1,3,0,1,1,1,2,6,NA,NA,NA,NA,1,1,NA,1,1,4,4,1,2,4,4,2,4,2,2,4,NA,NA,50,50,50,95,15,NA,80,1,15,90,50,0,0,4,7,4,NA,NA,0,NA,NA,0.833333333333333,2,6,1,6,3,1,3,3,0,4,3,5,NA,NA,NA,NA,0,"3",5,5,NA,NA,0,0,0,0,0,0,0,1,1,1,0,NA,NA,5,2,5,NA,NA,3,3,NA,3,3,3613,3,2,2,2,"0","0",40,1,1,1,1,NA,NA,NA,1,NA,NA,NA,2020,22560,1,0.3125,0.5,3.16666666666667,NA,1,0.333333333333333,NA,NA,1
"36142",2,0.1375,7,1,7,NA,NA,NA,NA,2,2,2,2,2,0,1,NA,1,2,6,NA,NA,NA,NA,1,1,NA,1,1,5,1,1,1,2,1,3,3,4,5,4,NA,NA,NA,85,85,10,10,70,60,0,15,85,85,0,1,6,7,1,NA,NA,0,NA,NA,0.833333333333333,2,7,1,6,5,1,2,3,0,6,1,7,NA,NA,NA,NA,0,"3",3,5,NA,NA,0,0,0,0,0,0,0,1,0.833333333333333,0,0,NA,NA,7,2,7,NA,NA,3,1,NA,1,3,3614,5,5,5,5,"0",NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,2020,22561,1,1,1,2.16666666666667,NA,1,0.666666666666667,NA,NA,1
"36172",1,0.525,7,3,7,NA,NA,NA,NA,1,1,1,1,1,0,0,NA,1,3,7,NA,NA,NA,NA,3,4,NA,3,4,5,2,3,1,2,2,1,1,1,2,1,NA,NA,75,75,75,50,70,0,0,0,40,NA,50,0,0,3,5,1,NA,NA,0,NA,NA,0.5,3,5,2,6,2,1,3,4,0,4,3,7,NA,NA,NA,NA,0,"3",2,3,NA,NA,0,0,0,0,0,0,0,1,0.666666666666667,1,0,NA,NA,4,3,7,NA,NA,1,1,NA,1,1,3617,2,1,3,1,"0",NA,75,0,0,NA,0,NA,NA,NA,1,NA,NA,NA,2020,22564,1,0.1875,0,2.5,NA,0.166666666666667,1,NA,NA,1
"36182",1,0.7125,6,1,6,NA,NA,NA,NA,2,2,2,2,2,0,1,0,1,4,5,NA,NA,NA,NA,3,4,NA,3,2,5,2,2,1,3,2,1,2,4,4,4,NA,NA,80,50,60,70,70,0,15,0,40,40,40,0,0,4,6,2,NA,NA,0,NA,NA,0.833333333333333,2,7,2,7,4,1,3,4,0,5,3,7,NA,NA,NA,NA,0,"3",2,5,NA,NA,0,0,0,0,0,0,0,1,1,0,0,NA,NA,4,2,6,NA,NA,1,1,NA,1,1,3618,5,5,5,4,"1","0",40,0,1,0,0,NA,NA,NA,1,NA,NA,NA,2020,22565,1,0.9375,1,2.5,NA,0.333333333333333,1,NA,NA,1
"36192",1,0.675,5,3,5,NA,NA,NA,NA,1,1,1,1,1,0,0,NA,0,4,7,NA,NA,NA,NA,4,3,NA,3,3,4,2,2,1,3,2,3,1,1,2,1,NA,NA,80,70,70,70,85,30,15,0,85,40,85,0,0,3,5,2,NA,NA,0,NA,NA,0.5,4,7,2,7,3,0,2,4,0,3,3,6,NA,NA,NA,NA,NA,"3",3,4,NA,NA,0,1,0,0,0,0,0,1,0.333333333333333,0,0,NA,NA,3,2,7,NA,NA,1,1,NA,1,1,3619,1,1,3,3,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2020,22566,1,0.25,0,2.66666666666667,NA,0.25,1,NA,NA,1
"36212",1,0.3375,7,2,7,NA,NA,NA,NA,1,2,1,1,2,0,0,NA,1,6,1,NA,NA,NA,NA,4,4,NA,4,4,4,3,2,1,4,3,2,1,1,1,2,NA,NA,NA,50,50,85,85,40,0,1,75,35,100,0,0,2,7,1,NA,NA,0,NA,NA,0.166666666666667,3,7,2,6,2,1,3,2,0,2,3,7,NA,NA,NA,NA,0,"3",2,3,NA,NA,0,1,0,0,0,0,0,1,0.166666666666667,1,0,NA,NA,1,2,7,NA,NA,1,1,NA,1,1,3621,1,1,2,1,"0","0",100,0,0,0,0,NA,NA,NA,1,NA,NA,NA,2020,22568,1,0.0625,0.25,3,NA,0,1,NA,NA,1
"36222",1,0.35,7,5,7,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,0,5,7,NA,NA,NA,NA,2,3,NA,3,2,4,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,85,0,0,0,NA,NA,NA,0,NA,2,3,1,NA,NA,0,NA,NA,0,3,7,3,7,NA,1,3,NA,0,1,5,7,NA,NA,NA,NA,0,"3",NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,1,0,NA,NA,1,5,7,NA,NA,1,1,NA,1,1,3622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2020,22569,1,NA,NA,2.33333333333333,NA,0.5,1,NA,NA,0
"36232",1,0.7875,7,2,7,NA,NA,NA,NA,1,1,1,1,1,0,0,NA,1,4,7,NA,NA,NA,NA,3,3,NA,3,3,4,2,2,1,2,4,2,2,1,2,1,NA,NA,100,NA,90,75,80,15,10,1,80,10,100,0,0,2,6,3,NA,NA,0,NA,NA,0.166666666666667,2,7,2,7,2,0,3,3,0,2,2,7,NA,NA,NA,NA,0,"3",2,2,NA,NA,0,0,0,0,0,0,0,1,0.166666666666667,0,0,NA,NA,2,1,7,NA,NA,1,1,NA,1,1,3623,2,1,1,1,"0",NA,80,0,0,NA,0,NA,NA,NA,1,NA,NA,NA,2020,22570,1,0.0625,0,2.66666666666667,NA,0.333333333333333,1,NA,NA,1
"36242",3,0.525,3,1,3,NA,NA,NA,NA,2,2,1,1,NA,0,0,1,0,2,6,NA,NA,NA,NA,1,1,NA,2,1,3,2,1,1,2,4,2,3,3,3,4,NA,NA,NA,NA,85,15,15,60,95,0,85,95,85,1,0,3,7,5,NA,NA,0,NA,NA,0.833333333333333,2,6,2,6,3,1,3,3,0,7,1,6,NA,NA,NA,NA,0,"3",5,5,NA,NA,0,0,0,0,0,1,1,1,1,0,NA,NA,NA,7,1,6,NA,NA,3,3,NA,3,3,3624,4,5,3,3,"0","0",25,1,1,1,1,NA,NA,NA,1,NA,NA,NA,2020,22571,1,0.6875,0.5,2.33333333333333,NA,0.916666666666667,0.333333333333333,NA,NA,3
"36252",1,0.65,6,2,6,NA,NA,NA,NA,1,1,1,1,1,0,0,NA,1,4,7,NA,NA,NA,NA,3,4,NA,2,3,4,2,1,1,4,1,2,1,1,2,1,NA,NA,60,60,70,60,90,15,5,0,80,NA,90,0,0,3,5,1,NA,NA,0,NA,NA,0.333333333333333,3,5,3,6,2,1,3,4,0,4,3,7,NA,NA,NA,NA,0,"3",1,2,NA,NA,0,0,0,0,0,0,1,1,0.333333333333333,1,0,NA,NA,3,2,6,NA,NA,3,1,NA,1,1,3625,1,1,1,1,"0","0",80,0,0,0,0,NA,NA,NA,1,NA,NA,NA,2020,22572,1,0,0,2.33333333333333,NA,0.333333333333333,0.833333333333333,NA,NA,2
"36272",4,0.5375,5,2,5,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,1,1,2,6,NA,NA,NA,NA,1,1,NA,1,1,4,NA,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,85,100,1,NA,NA,NA,1,NA,4,7,3,NA,NA,0,NA,NA,0.833333333333333,1,6,1,6,NA,1,2,NA,0,7,1,7,NA,NA,NA,NA,0,"3",NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,1,1,1,NA,NA,7,1,7,NA,NA,4,3,NA,3,4,3627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2020,22574,1,NA,NA,2.66666666666667,NA,1,0.166666666666667,NA,NA,0
"36282",1,0.275,4,3,4,NA,NA,NA,NA,1,2,2,1,2,0,0,0,1,5,6,NA,NA,NA,NA,2,2,NA,3,3,2,4,2,1,2,4,4,2,2,1,1,NA,NA,40,60,50,70,70,40,15,1,70,50,40,0,0,2,5,4,NA,NA,0,NA,NA,0.166666666666667,2,7,2,6,3,1,2,2,0,3,4,7,NA,NA,NA,NA,0,"3",4,4,NA,NA,0,1,0,0,0,0,0,1,0.166666666666667,0,0,NA,NA,4,3,7,NA,NA,1,1,NA,1,2,3628,4,2,2,2,NA,NA,50,NA,0,0,NA,NA,NA,NA,1,NA,NA,NA,2020,22575,1,0.375,0.5,3,NA,0.5,0.916666666666667,NA,NA,1
"36292",3,0.7875,5,3,5,NA,NA,NA,NA,2,2,1,1,3,0,0,0,0,2,6,NA,NA,NA,NA,2,1,NA,1,1,5,2,1,2,3,2,2,3,4,2,2,NA,NA,100,100,100,0,15,85,100,0,50,100,50,1,1,4,7,5,NA,NA,0,NA,NA,1,1,6,1,6,3,0,3,3,0,5,2,5,NA,NA,NA,NA,0,"3",5,5,NA,NA,0,0,0,0,0,0,1,1,1,0,0,NA,NA,3,1,4,NA,NA,4,3,NA,4,3,3629,4,2,2,3,"1",NA,70,1,0,NA,1,NA,NA,NA,1,NA,NA,NA,2020,22576,1,0.4375,0.5,2.5,NA,0.916666666666667,0.166666666666667,NA,NA,2
"36302",NA,0.5125,4,2,4,NA,NA,NA,NA,1,1,2,1,3,0,0,1,0,4,7,NA,NA,NA,NA,1,1,NA,1,1,3,2,1,1,2,2,2,5,3,2,5,NA,NA,50,50,50,0,30,60,90,0,10,50,50,1,1,4,7,5,NA,NA,0,NA,NA,0.833333333333333,2,6,1,5,3,1,3,3,0,7,2,6,NA,NA,NA,NA,NA,"3",5,4,NA,NA,0,0,0,0,0,0,0,1,1,1,0,NA,NA,5,1,5,NA,NA,1,1,NA,2,4,3630,3,4,5,2,"0",NA,10,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,2020,22577,1,0.625,0.25,2,NA,1,0.666666666666667,NA,NA,1
"36312",3,0.5625,4,2,4,NA,NA,NA,NA,2,2,2,2,1,0,0,NA,0,1,7,NA,NA,NA,NA,2,2,NA,2,2,5,3,1,1,2,3,3,1,3,3,4,NA,NA,NA,100,100,30,40,85,85,0,100,85,50,0,0,4,7,3,NA,NA,0,NA,NA,0.666666666666667,2,6,2,6,5,0,3,3,0,4,2,5,NA,NA,NA,NA,0,"3",5,5,NA,NA,0,1,0,0,0,0,0,1,0.666666666666667,1,0,NA,NA,4,6,3,NA,NA,3,3,NA,4,3,3631,3,5,5,3,NA,NA,60,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,2020,22578,1,0.75,1,2.83333333333333,NA,0.666666666666667,0.25,NA,NA,1
"36332",2,0.225,2,2,2,NA,NA,NA,NA,1,2,1,2,2,0,1,0,1,1,2,NA,NA,NA,NA,2,2,NA,2,2,2,2,3,2,4,4,2,1,1,2,1,NA,NA,70,70,70,45,30,60,50,0,50,40,60,0,0,4,3,3,NA,NA,0,NA,NA,0.5,5,5,4,3,2,1,1,3,0,3,4,2,NA,NA,NA,NA,0,"3",4,4,NA,NA,0,0,0,0,0,0,1,1,1,0,0,NA,NA,3,2,2,NA,NA,2,3,NA,1,2,3633,2,2,2,1,"0",NA,70,0,0,NA,0,NA,NA,NA,1,NA,NA,NA,2020,22580,1,0.1875,0.5,2.83333333333333,NA,0.666666666666667,0.666666666666667,NA,NA,2
"36352",1,0.3875,7,1,7,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,6,NA,NA,NA,NA,1,1,NA,1,1,4,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,60,70,0,NA,NA,NA,1,NA,4,7,2,NA,NA,0,NA,NA,0.833333333333333,1,5,1,4,NA,0,3,NA,0,7,1,7,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0.833333333333333,1,0,NA,NA,7,1,7,NA,NA,3,2,NA,4,4,3635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2020,22582,1,NA,NA,2.33333333333333,NA,1,0.25,NA,NA,0
"36372",1,0.325,7,1,7,NA,NA,NA,NA,1,1,1,1,1,0,0,NA,1,3,7,NA,NA,NA,NA,3,3,NA,3,3,5,4,2,2,2,4,2,2,2,2,2,NA,NA,NA,100,85,85,85,0,0,0,85,NA,100,0,0,2,7,1,NA,NA,0,NA,NA,0.166666666666667,2,7,2,7,3,1,3,4,0,3,2,7,NA,NA,NA,NA,NA,"3",2,2,NA,NA,0,0,0,1,0,1,0,1,0,1,0,NA,NA,1,2,7,NA,NA,1,1,NA,1,1,3637,1,1,1,1,"0","0",85,0,0,0,0,NA,NA,NA,1,NA,NA,NA,2020,22584,1,0,0,3.16666666666667,NA,0.333333333333333,1,NA,NA,3
"36382",1,0.45,7,2,7,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,1,4,7,NA,NA,NA,NA,3,4,NA,3,3,4,NA,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,85,0,0,1,NA,NA,NA,0,NA,2,6,1,NA,NA,0,NA,NA,0,3,5,3,7,NA,1,3,NA,0,2,3,7,NA,NA,NA,NA,0,"3",NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,1,0,NA,NA,1,3,7,NA,NA,1,1,NA,1,1,3638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2020,22585,1,NA,NA,3,NA,0.25,1,NA,NA,0
"36412",1,0.7875,1,4,1,NA,NA,NA,NA,1,2,2,2,2,0,1,1,0,1,1,NA,NA,NA,NA,4,4,NA,4,4,5,1,2,1,1,1,4,2,3,4,2,NA,NA,NA,50,50,100,100,0,0,0,50,50,50,0,0,NA,6,1,NA,NA,0,NA,NA,NA,4,4,4,7,3,0,3,4,0,NA,5,1,NA,NA,NA,NA,0,"3",2,5,NA,NA,0,0,0,0,0,1,0,1,0,1,0,NA,NA,NA,6,1,NA,NA,1,1,NA,1,1,3641,3,3,3,3,"1",NA,85,0,1,NA,0,NA,NA,NA,1,NA,NA,NA,2020,22588,1,0.5,0.75,2.33333333333333,NA,0,1,NA,NA,2
"36422",2,0.475,6,2,6,NA,NA,NA,NA,1,2,2,1,1,0,1,NA,0,2,7,NA,NA,NA,NA,4,3,NA,3,3,3,2,1,1,3,2,3,2,2,2,1,NA,NA,NA,80,90,70,85,30,0,0,70,50,95,0,0,2,6,2,NA,NA,0,NA,NA,0.333333333333333,4,3,2,5,1,1,2,3,0,NA,4,7,NA,NA,NA,NA,0,"3",2,4,NA,NA,0,0,0,0,0,0,1,1,0.166666666666667,1,0,NA,NA,3,2,7,NA,NA,1,1,NA,1,1,3642,2,2,3,2,"0","0",90,0,0,0,0,NA,NA,NA,1,NA,NA,NA,2020,22589,1,0.3125,0.5,2.33333333333333,NA,0.25,1,NA,NA,2
"36482",4,0.775,4,2,4,NA,NA,NA,NA,2,2,2,1,3,0,0,NA,0,3,4,NA,NA,NA,NA,1,1,NA,1,1,1,3,1,1,3,2,1,3,3,3,3,NA,NA,NA,70,70,50,50,60,60,0,50,70,60,1,0,4,2,6,NA,NA,0,NA,NA,0.5,3,7,3,7,3,0,1,1,0,4,3,5,NA,NA,NA,NA,0,"3",3,3,NA,NA,0,1,0,0,0,0,0,0,0.5,0,0,NA,NA,4,3,5,NA,NA,2,2,NA,2,2,3648,3,3,3,3,NA,NA,85,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2020,22595,1,0.5,0.75,1.83333333333333,NA,1,0.666666666666667,NA,NA,0
"36492",2,0.3125,2,5,2,NA,NA,NA,NA,1,2,1,1,2,0,0,NA,1,4,5,NA,NA,NA,NA,1,1,NA,1,1,5,4,1,2,4,4,2,1,4,2,3,NA,NA,NA,50,60,0,30,70,70,0,40,50,50,0,1,6,7,2,NA,NA,0,NA,NA,0.666666666666667,2,5,1,6,3,1,2,3,0,5,1,6,NA,NA,NA,NA,0,"3",2,4,NA,NA,0,1,0,0,0,0,0,1,0.833333333333333,0,0,NA,NA,4,1,6,NA,NA,3,2,NA,1,3,3649,2,2,3,2,"0",NA,40,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,2020,22596,1,0.3125,0.25,3.33333333333333,NA,1,0.583333333333333,NA,NA,1
"36512",3,0.0125,2,5,2,NA,NA,NA,NA,2,2,1,1,3,0,0,0,0,3,6,NA,NA,NA,NA,1,1,NA,1,1,5,1,2,2,4,2,1,2,2,4,4,NA,NA,NA,52,54,0,0,85,100,0,NA,99,100,0,0,4,3,6,NA,NA,0,NA,NA,0.833333333333333,1,6,1,6,3,0,3,4,0,2,7,2,NA,NA,NA,NA,0,"3",3,5,NA,NA,0,0,0,1,1,1,1,1,1,0,0,NA,NA,6,1,4,NA,NA,3,2,NA,3,3,3651,4,2,5,3,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2020,22598,1,0.625,0.5,2.5,NA,1,0.416666666666667,NA,NA,5
"36532",1,-0.325,4,2,4,NA,NA,NA,NA,1,2,1,1,2,0,0,NA,0,1,7,NA,NA,NA,NA,1,1,NA,1,1,3,4,1,2,4,2,2,2,3,2,4,NA,NA,50,50,50,40,30,60,50,1,70,50,100,0,0,NA,7,3,NA,NA,0,NA,NA,0.5,2,6,2,6,2,1,2,2,0,4,1,7,NA,NA,NA,NA,0,"3",1,3,NA,NA,0,0,0,0,0,0,0,1,0.5,0,0,NA,NA,NA,1,5,NA,NA,2,2,NA,2,2,3653,5,3,3,3,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2020,22600,1,0.625,0.25,2.66666666666667,NA,1,0.666666666666667,NA,NA,1
"36552",3,0.5,7,1,7,NA,NA,NA,NA,2,2,1,1,1,0,0,NA,0,1,7,NA,NA,NA,NA,1,1,NA,1,1,5,2,1,1,3,4,2,2,4,2,4,NA,NA,5,5,NA,0,0,70,100,0,40,NA,50,0,1,4,1,4,NA,NA,0,NA,NA,0.833333333333333,1,7,1,6,NA,0,3,2,0,7,1,7,NA,NA,NA,NA,0,"3",5,3,NA,NA,0,0,0,0,0,1,0,1,1,0,0,NA,NA,4,1,4,NA,NA,3,2,NA,3,4,3655,5,5,3,5,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2020,22602,1,0.875,0.5,2.83333333333333,NA,1,0.333333333333333,NA,NA,2
